Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issue,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,startPage,FindACopy,Database
Review 11 -- No Title,"IN 1741 the determination and conviction of knowing what he wanted to do most sent James Cook, at the age of thirteen, down the road to the sea and on to his ultimate fame as one of the foremost navigators and explorers the world has known. Maurice Thiery has chosen his material well, selecting much of it from Cook's own journal and logs.",124733203,Magazines," WILLIAM HOWELL WELLS
WILLIAM HOWELL WELLS", Copyright American Periodicals Series III Apr/May 1930," 426833651 , 5793722 , 41364", review, Apr/May 1930,2, English, English, New York,Apr/May 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124733203?accountid=14709, 227,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+11+--+No+Title&amp;rft.au=WILLIAM+HOWELL+WELLS&amp;rft.aulast=WILLIAM+HOWELL+WELLS&amp;rft.aufirst=&amp;rft.date=1930-04-01&amp;rft.volume=71&amp;rft.issue=2&amp;rft.spage=227&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 21 -- No Title,"MORLEY CALLAGHAN reduces story-telling to its least common denominator: he merely states facts in understandable language. He says: John read the paper; Lillian drank a cup of tea; John and Lillian made love; and by recording such different things at the same emotional temperature in the novel, he suggests that they happen at the same emotional temperature in life.",124733245,Magazines," Kronenberger, Louis
Louis
Louis Kronenberger
Kronenberger
LOUIS KRONENBERGER", Copyright American Periodicals Series III Apr/May 1930," 426833761 , 5793722 , 41364", review, Apr/May 1930,2, English, English, New York,Apr/May 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124733245?accountid=14709, 219,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+21+--+No+Title&amp;rft.au=Kronenberger%2C+Louis&amp;rft.aulast=Kronenberger&amp;rft.aufirst=Louis&amp;rft.date=1930-04-01&amp;rft.volume=71&amp;rft.issue=2&amp;rft.spage=219&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 29 -- No Title,,124733286,Magazines,, Copyright American Periodicals Series III Apr/May 1930," 426833841 , 5793722 , 41364", review, Apr/May 1930,2, English, English, New York,Apr/May 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124733286?accountid=14709, 213,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+29+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-04-01&amp;rft.volume=71&amp;rft.issue=2&amp;rft.spage=213&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Biography,,124733383,Magazines,, Copyright American Periodicals Series III Apr/May 1930," 426834041 , 5793722 , 41364", review, Apr/May 1930,2, English, English, New York,Apr/May 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124733383?accountid=14709, XVIII,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Biography&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-04-01&amp;rft.volume=71&amp;rft.issue=2&amp;rft.spage=XVIII&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Miscellaneous,,124729783,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835431 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124729783?accountid=14709, XXII,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Miscellaneous&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=XXII&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 10 -- No Title,,124729808,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835581 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124729808?accountid=14709, 341,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+10+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=341&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 17 -- No Title,,124729836,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835671 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124729836?accountid=14709, 334,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+17+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=334&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 18 -- No Title,"IN VIEW of the quantity of material already available upon Washington, another volume devoted to the biographic facts of his career would probably have been useless. In The Unknown Washington, Mr. Corbin has wisely not attempted to rework the ground already adequately tilled. He has begun his investigation, instead, at the point where other biographers have left off, and the result is a brilliant piece of exposition and interpretation.",124729864,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835681 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124729864?accountid=14709, 334,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+18+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=334&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 35 -- No Title,,124729909,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835861 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124729909?accountid=14709, 323,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+35+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=323&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 8 -- No Title,"""I CANNOT invent a better story than what actually happened,"" writes Mr. Mackenzie in his introduction, and proceeds to give us a well documented ""novel of fact"". ""Although projected against a background of the war in a Near East base..."" says Mr. McFee, in a foreword, ""the story is entirely fictitious""; and forthwith he spins a yarn of love and intrigue in Port Said which reads as if it were written in part, at least, from actual records.",124730242,Magazines," Harriss, R P
R
R P Harriss
Harriss
P
R P HARRISS", Copyright American Periodicals Series III Jun 1930," 426835561 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730242?accountid=14709, 343,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+8+--+No+Title&amp;rft.au=Harriss%2C+R+P&amp;rft.aulast=Harriss&amp;rft.aufirst=R&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=343&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 31 -- No Title,,124730271,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835821 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730271?accountid=14709, 325,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+31+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=325&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 37 -- No Title,"As A record of a disintegrating social order, as a picture of confusion, madness, terror and disease fallen upon a people that has suffered defeat in war and been stripped of all hope and faith, Robert Neumann's Flood is a profoundly interesting book.",124730316,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835881 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730316?accountid=14709, 322,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+37+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=322&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
NOTES ON NEW BOOKS,,124730402,Magazines,, Copyright American Periodicals Series III Jun 1930," 426836151 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730402?accountid=14709, iv,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=NOTES+ON+NEW+BOOKS%3A+HISTORY&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=iv&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
THE BOOKMAN'S MONTHLY SCORE,"Notice having been taken in these casual comments of the disappearance of Mr. Dakin's Mrs. Eddy from the monthly score after an all too brief sojourn here, it is but fair to note that library borrowers are again reading this searching biography in numbers sufficiently large to bring it into the ranks of currently popular literature. The exposure of the methods used in the campaign against this book seems to have emboldened librarians to put it again in circulation, and certainly has stimulated the demand for it. Aside from that, the most noteworthy feature of this month's score is the rise to popularity of Bertrand Russell's Marriage and Morals. And that, after all, was to have been expected, since it treats of a phase of life upon which, as these records have demonstrated time and time again, the most earnest search for new light persists among the reading masses.",124730403,Magazines," FRANK PARKER STOCKBRIDGE
FRANK PARKER STOCKBRIDGE", Copyright American Periodicals Series III Jun 1930," 426835471 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730403?accountid=14709, 352,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=THE+BOOKMAN%27S+MONTHLY+SCORE%3A+NOVELS&amp;rft.au=FRANK+PARKER+STOCKBRIDGE&amp;rft.aulast=FRANK+PARKER+STOCKBRIDGE&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=352&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 7 -- No Title,"IT IS Mr. Mazur's thesis that whether we like it or not America will face within the next ten years a surplus of imports over exports mounting to approximately five hundred millions of dollars. If Europe is to pay us what she owes us she must eventually do so in goods. Further loans whereby she can meet interest payments on what she already owes are a temporary expedient, and continued reliance upon a high tariff to shut out the foreign imports which might adversely affect our domestic sales would invite tariff retaliation cutting down our exports, or, by forcing Europe to pay us in gold, depress foreign exchanges.",124730441,Magazines," FOSTER RHEA DULLES
FOSTER RHEA DULLES", Copyright American Periodicals Series III Jun 1930," 426835551 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730441?accountid=14709, 343,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+7+--+No+Title&amp;rft.au=FOSTER+RHEA+DULLES&amp;rft.aulast=FOSTER+RHEA+DULLES&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=343&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 20 -- No Title,"THE LATE Sir Harry Johnston, whom most American readers will remember as the author of The Gay-Dombeys and of Mrs. Warren's Daughter, those ingenious postscripts to Dickens and Shaw, was a virtuoso in many lines. He told a good deal about himself in The Story of My Life: now his brother (who was also for thirteen years his private secretary) has supplemented his autobiography by this book of reminiscences.",124730481,Magazines," Matthews, T S
T
T S Matthews
Matthews
S
T S MATTHEWS", Copyright American Periodicals Series III Jun 1930," 426835701 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730481?accountid=14709, 332,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+20+--+No+Title&amp;rft.au=Matthews%2C+T+S&amp;rft.aulast=Matthews&amp;rft.aufirst=T&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=332&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 30 -- No Title,"HERE is a stark and truthful novel filled with the blood, sweat and breath of humanity. With the exception of the rather disconcerting last chapter, it is a moving piece of realism and a sad commentary on the manner in which America welcomes foster children.",124730521,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835811 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730521?accountid=14709, 326,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+30+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=326&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 3 -- No Title,"THIS volume is neither an autobiography, in the accepted sense of the term, nor a collection of simple anecdotes and reflections, but it partakes, in a baffling manner, of the qualities of both. Perhaps one had best accept Mr. Finger's own characterization of his book when he says that ""all adventure, all characters, all situations told of are true and incidental to the main thread; and the main thread traces my way through the spiritual jungle of my life, and leads to my religion, taking religion to be a way of life"".",124730631,Magazines," Wallace, Margaret
Margaret
Margaret Wallace
Wallace
MARGARET WALLACE", Copyright American Periodicals Series III Jun 1930," 426835511 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730631?accountid=14709, 346,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+3+--+No+Title&amp;rft.au=Wallace%2C+Margaret&amp;rft.aulast=Wallace&amp;rft.aufirst=Margaret&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=346&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 11 -- No Title,"A YOUNG Welsh journalist, Mr. Goodwin, has played a modest Boswell to Mr. Moore's Johnson, with considerable success in conveying the flavor of his master's personal style. In a little book of 175 pages are recorded Mr. Moore's opinions on a variety of themes such as plagiarism, Anatole France, Macbeth, Wagner, Kipling, Chekhov, obscenity, the relation of the artist to the public, paganism, and St.",124730668,Magazines," ALAN REYNOLDS THOMPSON
ALAN REYNOLDS THOMPSON", Copyright American Periodicals Series III Jun 1930," 426835591 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730668?accountid=14709, 341,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+11+--+No+Title&amp;rft.au=ALAN+REYNOLDS+THOMPSON&amp;rft.aulast=ALAN+REYNOLDS+THOMPSON&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=341&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 29 -- No Title,,124730706,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835801 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730706?accountid=14709, 326,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+29+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=326&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
A VARIED SHELF,"ALTHOUGH a reader of this play cannot hear the Negro choir singing spirituals between the scenes, and cannot view its settings and pageantry, he can recognize in the text the more fundamental qualities which have touched and delighted New York audiences. Here are familiar stories from the Old Testament done over in an African version as they would be imagined by simple and religious Negroes of the deep South.",124730766,Magazines,, Copyright American Periodicals Series III Jun 1930," 426835601 , 5793742 , 41364", review, Jun 1930,3, English, English, New York,Jun 1930,The Bookman; a Review of Books and Life (1895-1933),1930,71,http://search.proquest.com/docview/124730766?accountid=14709, 340,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=A+VARIED+SHELF&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-06-01&amp;rft.volume=71&amp;rft.issue=3&amp;rft.spage=340&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
